date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:48:37	21687/21687	---M-Z	200	added ('OK')	text/html	date:Sun,%2004%20Sep%202022%2005:48:37%20GMT	https://whc.peacefulqode.com/	C:/Users/angie/Desktop/tema%20whm/eg/whc.peacefulqode.com/index.html	(from )
00:48:37	3868/3868	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Sep%202022%2005:48:38%20GMT	https://whc.peacefulqode.com/robots.txt		(from )
00:48:38	215298/215298	---M--	200	added ('OK')	text/css	date:Wed,%2028%20Oct%202020%2021:32:10%20GMT	https://whc.peacefulqode.com/templates/six/css/all.min.css?v=5937de	C:/Users/angie/Desktop/tema%20whm/eg/whc.peacefulqode.com/templates/six/css/all.minf946.css	(from https://whc.peacefulqode.com/)
00:48:38	156472/156472	---M--	200	added ('OK')	text/css	date:Fri,%2026%20Feb%202021%2000:30:04%20GMT	https://whc.peacefulqode.com/assets/css/fontawesome-all.min.css	C:/Users/angie/Desktop/tema%20whm/eg/whc.peacefulqode.com/assets/css/fontawesome-all.min.css	(from https://whc.peacefulqode.com/)
00:48:39	16486/16486	---M--	200	added ('OK')	text/css	date:Thu,%2005%20Aug%202021%2013:43:50%20GMT	https://whc.peacefulqode.com/templates/six/css/custom.css	C:/Users/angie/Desktop/tema%20whm/eg/whc.peacefulqode.com/templates/six/css/custom.css	(from https://whc.peacefulqode.com/)
00:48:40	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2004%20Sep%202022%2005:48:41%20GMT	https://whc.peacefulqode.com/clientarea.php	C:/Users/angie/Desktop/tema%20whm/eg/whc.peacefulqode.com/clientarea.4.delayed	(from https://whc.peacefulqode.com/)
00:48:41	604831/604831	---M--	200	added ('OK')	application/javascript	date:Wed,%2028%20Oct%202020%2021:32:10%20GMT	https://whc.peacefulqode.com/templates/six/js/scripts.min.js?v=5937de	C:/Users/angie/Desktop/tema%20whm/eg/whc.peacefulqode.com/templates/six/js/scripts.minf946.js	(from https://whc.peacefulqode.com/)
00:48:41	21999/21999	---M-Z	200	added ('OK')	text/html	date:Sun,%2004%20Sep%202022%2005:48:42%20GMT	https://whc.peacefulqode.com/?language=arabic	C:/Users/angie/Desktop/tema%20whm/eg/whc.peacefulqode.com/indexed62.html	(from https://whc.peacefulqode.com/)
00:48:41	21850/21850	---M-Z	200	added ('OK')	text/html	date:Sun,%2004%20Sep%202022%2005:48:42%20GMT	https://whc.peacefulqode.com/?language=azerbaijani	C:/Users/angie/Desktop/tema%20whm/eg/whc.peacefulqode.com/index2a07.html	(from https://whc.peacefulqode.com/)
00:48:42	21750/21750	---M-Z	200	added ('OK')	text/html	date:Sun,%2004%20Sep%202022%2005:48:43%20GMT	https://whc.peacefulqode.com/?language=catalan	C:/Users/angie/Desktop/tema%20whm/eg/whc.peacefulqode.com/indexac7b.html	(from https://whc.peacefulqode.com/)
